sample_id,species,strain,abundance,ani,coverage
S20,s__Bacteroides_thetaiotaomicron,BT_003,305,95.09,0.749
S20,s__Faecalibacterium_prausnitzii,FP_001,408,98.2,0.5
S20,s__Faecalibacterium_prausnitzii,FP_002,110,95.19,0.695
S20,s__Faecalibacterium_prausnitzii,FP_003,192,95.74,0.665
S20,s__Faecalibacterium_prausnitzii,FP_004,129,96.92,0.502
S20,s__Faecalibacterium_prausnitzii,FP_005,186,98.47,0.885
S20,s__Akkermansia_muciniphila,AM_001,73,97.34,0.702
S20,s__Akkermansia_muciniphila,AM_002,446,98.57,0.906
S20,s__Akkermansia_muciniphila,AM_003,587,95.34,0.613
S21,s__Escherichia_coli,EC_001,96,96.88,0.845
S21,s__Escherichia_coli,EC_003,90,98.82,0.561
S21,s__Escherichia_coli,EC_004,122,97.62,0.996
S21,s__Escherichia_coli,EC_005,98,96.63,0.651
S21,s__Escherichia_coli,EC_006,276,95.27,0.999
S21,s__Escherichia_coli,EC_007,432,98.17,0.683
S21,s__Bacteroides_fragilis,BF_001,435,99.18,0.67
S21,s__Bacteroides_fragilis,BF_002,136,99.12,0.88
S21,s__Bacteroides_fragilis,BF_003,203,96.42,0.602
S21,s__Bacteroides_fragilis,BF_004,156,97.72,0.984
S21,s__Bacteroides_thetaiotaomicron,BT_001,546,98.24,0.649
S21,s__Bacteroides_thetaiotaomicron,BT_002,307,96.91,0.553
S21,s__Bacteroides_thetaiotaomicron,BT_003,303,98.38,0.743
S21,s__Faecalibacterium_prausnitzii,FP_001,345,99.34,0.719
S21,s__Faecalibacterium_prausnitzii,FP_002,136,95.93,0.518
S21,s__Faecalibacterium_prausnitzii,FP_003,148,95.12,0.998
S21,s__Faecalibacterium_prausnitzii,FP_004,197,96.17,0.694
S21,s__Faecalibacterium_prausnitzii,FP_005,156,98.88,0.822
S21,s__Akkermansia_muciniphila,AM_001,54,97.45,0.982
S21,s__Akkermansia_muciniphila,AM_002,373,98.98,0.983
S21,s__Akkermansia_muciniphila,AM_003,575,95.08,0.67
S22,s__Escherichia_coli,EC_001,110,96.65,0.861
S22,s__Escherichia_coli,EC_002,70,96.99,0.606
S22,s__Escherichia_coli,EC_003,46,98.2,0.762
S22,s__Escherichia_coli,EC_005,115,99.61,0.935
S22,s__Escherichia_coli,EC_006,249,97.63,0.871
S22,s__Escherichia_coli,EC_007,446,96.14,0.536
S22,s__Bacteroides_fragilis,BF_001,423,98.6,0.744
S22,s__Bacteroides_fragilis,BF_002,133,95.09,0.954
S22,s__Bacteroides_fragilis,BF_003,309,98.03,0.621
S22,s__Bacteroides_fragilis,BF_004,178,98.18,0.507
S22,s__Bacteroides_thetaiotaomicron,BT_001,480,98.1,0.952
S22,s__Bacteroides_thetaiotaomicron,BT_002,268,99.02,0.549
S22,s__Bacteroides_thetaiotaomicron,BT_003,272,98.0,0.918
S22,s__Faecalibacterium_prausnitzii,FP_001,373,95.31,0.909
S22,s__Faecalibacterium_prausnitzii,FP_002,209,95.56,0.797
S22,s__Faecalibacterium_prausnitzii,FP_003,78,98.02,0.532
S22,s__Faecalibacterium_prausnitzii,FP_004,210,95.99,0.669
S22,s__Faecalibacterium_prausnitzii,FP_005,79,99.1,0.869
S22,s__Akkermansia_muciniphila,AM_001,89,96.97,0.56
S22,s__Akkermansia_muciniphila,AM_002,309,98.35,0.773
S22,s__Akkermansia_muciniphila,AM_003,607,96.58,0.982
S23,s__Escherichia_coli,EC_001,73,96.04,0.523
S23,s__Escherichia_coli,EC_002,16,95.85,0.532
S23,s__Escherichia_coli,EC_003,34,96.34,0.879
S23,s__Escherichia_coli,EC_004,175,95.82,0.685
S23,s__Escherichia_coli,EC_005,61,95.81,0.622
S23,s__Escherichia_coli,EC_006,281,97.85,0.567
S23,s__Escherichia_coli,EC_007,412,98.88,0.816
S23,s__Bacteroides_fragilis,BF_001,437,96.84,0.579
S23,s__Bacteroides_fragilis,BF_002,137,99.31,0.54
S23,s__Bacteroides_fragilis,BF_003,189,95.04,0.963
S23,s__Bacteroides_fragilis,BF_004,243,98.46,0.797
S23,s__Bacteroides_thetaiotaomicron,BT_001,476,96.39,0.847
S23,s__Bacteroides_thetaiotaomicron,BT_002,296,98.88,0.738
S23,s__Bacteroides_thetaiotaomicron,BT_003,233,95.62,0.572
S23,s__Faecalibacterium_prausnitzii,FP_001,302,96.33,0.725
S23,s__Faecalibacterium_prausnitzii,FP_002,162,96.17,0.587
S23,s__Faecalibacterium_prausnitzii,FP_003,157,98.39,0.798
S23,s__Faecalibacterium_prausnitzii,FP_004,250,98.51,0.806
S23,s__Faecalibacterium_prausnitzii,FP_005,171,95.43,0.913
S23,s__Akkermansia_muciniphila,AM_001,84,96.48,0.709
S23,s__Akkermansia_muciniphila,AM_002,384,97.73,0.596
S23,s__Akkermansia_muciniphila,AM_003,653,99.83,0.988
S24,s__Escherichia_coli,EC_001,39,98.03,0.931
S24,s__Escherichia_coli,EC_002,34,99.84,0.754
S24,s__Escherichia_coli,EC_003,61,97.27,0.813
S24,s__Escherichia_coli,EC_005,112,96.02,0.527
S24,s__Escherichia_coli,EC_006,311,95.55,0.575
S24,s__Escherichia_coli,EC_007,365,99.13,0.956
S24,s__Bacteroides_fragilis,BF_001,472,97.44,0.58
S24,s__Bacteroides_fragilis,BF_002,59,99.52,0.527
S24,s__Bacteroides_fragilis,BF_003,188,96.78,0.605
S24,s__Bacteroides_fragilis,BF_004,88,96.23,0.808
S24,s__Bacteroides_thetaiotaomicron,BT_001,503,99.36,0.727
S24,s__Bacteroides_thetaiotaomicron,BT_002,211,95.51,0.526
S24,s__Bacteroides_thetaiotaomicron,BT_003,327,97.63,0.579
S24,s__Faecalibacterium_prausnitzii,FP_001,367,95.14,0.757
S24,s__Faecalibacterium_prausnitzii,FP_002,120,95.35,0.618
S24,s__Faecalibacterium_prausnitzii,FP_003,218,97.18,0.79
S24,s__Faecalibacterium_prausnitzii,FP_004,184,97.05,0.874
S24,s__Faecalibacterium_prausnitzii,FP_005,143,99.4,0.615
S24,s__Akkermansia_muciniphila,AM_001,15,95.54,0.614
S24,s__Akkermansia_muciniphila,AM_002,413,96.16,0.706
S24,s__Akkermansia_muciniphila,AM_003,483,95.98,0.946
S25,s__Escherichia_coli,EC_001,69,95.36,0.793
S25,s__Escherichia_coli,EC_002,64,95.27,0.718
S25,s__Escherichia_coli,EC_003,91,96.06,0.805
S25,s__Escherichia_coli,EC_004,19,95.87,0.687
S25,s__Escherichia_coli,EC_005,5,97.24,0.597
S25,s__Escherichia_coli,EC_006,300,96.76,0.635
S25,s__Escherichia_coli,EC_007,309,96.65,0.516
S25,s__Bacteroides_fragilis,BF_001,477,97.79,0.64
S25,s__Bacteroides_fragilis,BF_002,130,95.54,0.733
S25,s__Bacteroides_fragilis,BF_003,126,97.05,0.88
S25,s__Bacteroides_fragilis,BF_004,297,96.08,0.648
S25,s__Bacteroides_thetaiotaomicron,BT_001,482,95.77,0.897
S25,s__Bacteroides_thetaiotaomicron,BT_002,250,99.67,0.953
S25,s__Bacteroides_thetaiotaomicron,BT_003,240,97.83,0.776
S25,s__Faecalibacterium_prausnitzii,FP_001,272,96.13,0.706
S25,s__Faecalibacterium_prausnitzii,FP_002,120,97.56,0.931
S25,s__Faecalibacterium_prausnitzii,FP_003,126,96.06,0.737
S25,s__Faecalibacterium_prausnitzii,FP_004,157,97.27,0.507
S25,s__Faecalibacterium_prausnitzii,FP_005,250,97.1,0.936
S25,s__Akkermansia_muciniphila,AM_001,98,96.21,0.717
S25,s__Akkermansia_muciniphila,AM_002,420,96.09,0.964
S25,s__Akkermansia_muciniphila,AM_003,565,99.64,0.957
S26,s__Escherichia_coli,EC_001,64,99.4,0.709
S26,s__Escherichia_coli,EC_002,133,95.22,0.996
S26,s__Escherichia_coli,EC_003,97,98.59,0.752
S26,s__Escherichia_coli,EC_004,61,97.09,0.697
S26,s__Escherichia_coli,EC_005,136,98.97,0.848
S26,s__Escherichia_coli,EC_006,387,95.48,0.748
S26,s__Escherichia_coli,EC_007,296,95.41,0.877
S26,s__Bacteroides_fragilis,BF_001,399,98.4,0.703
S26,s__Bacteroides_fragilis,BF_002,213,96.07,0.679
S26,s__Bacteroides_fragilis,BF_003,169,96.17,0.999
S26,s__Bacteroides_fragilis,BF_004,177,95.08,0.835
S26,s__Bacteroides_thetaiotaomicron,BT_001,496,95.79,0.73
S26,s__Bacteroides_thetaiotaomicron,BT_002,306,97.79,0.792
S26,s__Bacteroides_thetaiotaomicron,BT_003,255,99.78,0.732
S26,s__Faecalibacterium_prausnitzii,FP_001,429,95.68,0.852
S26,s__Faecalibacterium_prausnitzii,FP_002,222,95.91,0.936
S26,s__Faecalibacterium_prausnitzii,FP_003,224,98.07,0.852
S26,s__Faecalibacterium_prausnitzii,FP_004,156,95.01,0.814
S26,s__Faecalibacterium_prausnitzii,FP_005,129,96.89,0.845
S26,s__Akkermansia_muciniphila,AM_001,84,97.6,0.648
S26,s__Akkermansia_muciniphila,AM_002,419,98.69,0.849
S26,s__Akkermansia_muciniphila,AM_003,508,98.0,0.788
S27,s__Escherichia_coli,EC_001,70,96.02,0.842
S27,s__Escherichia_coli,EC_002,76,98.04,0.668
S27,s__Escherichia_coli,EC_003,63,99.57,0.757
S27,s__Escherichia_coli,EC_004,143,99.46,0.682
S27,s__Escherichia_coli,EC_005,138,95.25,0.691
S27,s__Escherichia_coli,EC_006,336,97.28,0.52
S27,s__Escherichia_coli,EC_007,371,96.8,0.824
S27,s__Bacteroides_fragilis,BF_001,376,98.45,0.78
S27,s__Bacteroides_fragilis,BF_002,206,98.79,0.569
S27,s__Bacteroides_fragilis,BF_003,239,96.64,0.77
S27,s__Bacteroides_fragilis,BF_004,174,98.18,0.869
S27,s__Bacteroides_thetaiotaomicron,BT_001,565,98.69,0.936
S27,s__Bacteroides_thetaiotaomicron,BT_002,213,98.44,0.877
S27,s__Bacteroides_thetaiotaomicron,BT_003,216,98.73,0.66
S27,s__Faecalibacterium_prausnitzii,FP_001,330,99.4,0.752
S27,s__Faecalibacterium_prausnitzii,FP_002,91,97.07,0.527
S27,s__Faecalibacterium_prausnitzii,FP_003,63,96.83,0.726
S27,s__Faecalibacterium_prausnitzii,FP_004,195,97.46,0.915
S27,s__Faecalibacterium_prausnitzii,FP_005,198,97.3,0.766
S27,s__Akkermansia_muciniphila,AM_001,18,99.04,0.95
S27,s__Akkermansia_muciniphila,AM_002,389,97.21,0.684
S27,s__Akkermansia_muciniphila,AM_003,577,98.3,0.847
S28,s__Escherichia_coli,EC_001,41,99.79,0.942
S28,s__Escherichia_coli,EC_002,18,95.92,0.942
S28,s__Escherichia_coli,EC_003,23,95.43,0.695
S28,s__Escherichia_coli,EC_004,142,95.88,0.979
S28,s__Escherichia_coli,EC_005,10,95.38,0.582
S28,s__Escherichia_coli,EC_006,189,95.55,0.574
S28,s__Escherichia_coli,EC_007,303,95.74,0.602
S28,s__Bacteroides_fragilis,BF_001,454,99.67,0.511
S28,s__Bacteroides_fragilis,BF_002,134,97.04,0.841
S28,s__Bacteroides_fragilis,BF_003,225,99.57,0.737
S28,s__Bacteroides_fragilis,BF_004,272,97.06,0.869
S28,s__Bacteroides_thetaiotaomicron,BT_001,577,95.11,0.595
S28,s__Bacteroides_thetaiotaomicron,BT_002,220,95.11,0.901
S28,s__Bacteroides_thetaiotaomicron,BT_003,256,99.09,0.76
S28,s__Faecalibacterium_prausnitzii,FP_001,292,96.65,0.789
S28,s__Faecalibacterium_prausnitzii,FP_002,198,98.21,0.893
S28,s__Faecalibacterium_prausnitzii,FP_003,153,97.38,0.833
S28,s__Faecalibacterium_prausnitzii,FP_004,185,97.6,0.774
S28,s__Faecalibacterium_prausnitzii,FP_005,126,97.24,0.784
S28,s__Akkermansia_muciniphila,AM_001,42,99.4,0.653
S28,s__Akkermansia_muciniphila,AM_002,413,98.87,0.613
S28,s__Akkermansia_muciniphila,AM_003,471,96.82,0.644
S29,s__Escherichia_coli,EC_001,82,99.14,0.574
S29,s__Escherichia_coli,EC_002,116,96.39,0.978
S29,s__Escherichia_coli,EC_003,128,98.03,0.58
S29,s__Escherichia_coli,EC_004,54,97.62,0.591
S29,s__Escherichia_coli,EC_005,32,95.86,0.854
S29,s__Escherichia_coli,EC_006,206,99.43,0.897
S29,s__Escherichia_coli,EC_007,391,95.79,0.558
S29,s__Bacteroides_fragilis,BF_001,363,99.87,0.787
S29,s__Bacteroides_fragilis,BF_002,163,97.16,0.685
S29,s__Bacteroides_fragilis,BF_003,278,96.01,0.854
S29,s__Bacteroides_fragilis,BF_004,168,98.26,0.989
S29,s__Bacteroides_thetaiotaomicron,BT_001,532,95.72,0.724
S29,s__Bacteroides_thetaiotaomicron,BT_002,301,99.78,0.767
S29,s__Bacteroides_thetaiotaomicron,BT_003,240,95.6,0.512
S29,s__Faecalibacterium_prausnitzii,FP_001,339,99.56,0.884
S29,s__Faecalibacterium_prausnitzii,FP_002,176,99.64,0.964
S29,s__Faecalibacterium_prausnitzii,FP_003,217,95.76,0.985
S29,s__Faecalibacterium_prausnitzii,FP_004,167,97.68,0.754
S29,s__Faecalibacterium_prausnitzii,FP_005,60,98.17,0.648
S29,s__Akkermansia_muciniphila,AM_001,124,99.39,0.985
S29,s__Akkermansia_muciniphila,AM_002,374,98.7,0.997
S29,s__Akkermansia_muciniphila,AM_003,521,98.27,0.9
S30,s__Escherichia_coli,EC_001,68,98.57,0.961
S30,s__Escherichia_coli,EC_002,68,96.66,0.556
S30,s__Escherichia_coli,EC_003,123,97.35,0.52
S30,s__Escherichia_coli,EC_004,84,98.32,0.558
S30,s__Escherichia_coli,EC_005,28,95.12,0.809
S30,s__Escherichia_coli,EC_006,270,96.08,0.679
S30,s__Escherichia_coli,EC_007,383,96.6,0.804
S30,s__Bacteroides_fragilis,BF_001,380,95.96,0.763
S30,s__Bacteroides_fragilis,BF_002,156,98.83,0.884
S30,s__Bacteroides_fragilis,BF_003,226,95.96,0.542
S30,s__Bacteroides_fragilis,BF_004,202,99.16,0.839
S30,s__Bacteroides_thetaiotaomicron,BT_001,570,99.69,0.988
S30,s__Bacteroides_thetaiotaomicron,BT_002,310,96.93,0.745
S30,s__Bacteroides_thetaiotaomicron,BT_003,243,97.96,0.756
S30,s__Faecalibacterium_prausnitzii,FP_001,242,95.27,0.833
S30,s__Faecalibacterium_prausnitzii,FP_002,163,96.95,0.858
S30,s__Faecalibacterium_prausnitzii,FP_003,84,97.1,0.693
S30,s__Faecalibacterium_prausnitzii,FP_004,157,95.06,0.672
S30,s__Faecalibacterium_prausnitzii,FP_005,173,96.51,0.723
S30,s__Akkermansia_muciniphila,AM_001,87,97.75,0.608
S30,s__Akkermansia_muciniphila,AM_002,440,99.35,0.871
S30,s__Akkermansia_muciniphila,AM_003,590,97.04,0.721
