sample_id,species,strain,abundance
S26,s__Faecalibacterium_prausnitzii,FP_005,141
S26,s__Akkermansia_muciniphila,AM_001,114
S26,s__Akkermansia_muciniphila,AM_002,301
S26,s__Akkermansia_muciniphila,AM_003,522
S27,s__Escherichia_coli,EC_001,80
S27,s__Escherichia_coli,EC_002,99
S27,s__Escherichia_coli,EC_003,61
S27,s__Escherichia_coli,EC_004,133
S27,s__Escherichia_coli,EC_005,37
S27,s__Escherichia_coli,EC_006,204
S27,s__Escherichia_coli,EC_007,366
S27,s__Bacteroides_fragilis,BF_001,425
S27,s__Bacteroides_fragilis,BF_002,221
S27,s__Bacteroides_fragilis,BF_003,193
S27,s__Bacteroides_fragilis,BF_004,263
S27,s__Bacteroides_thetaiotaomicron,BT_001,485
S27,s__Bacteroides_thetaiotaomicron,BT_002,182
S27,s__Bacteroides_thetaiotaomicron,BT_003,215
S27,s__Faecalibacterium_prausnitzii,FP_001,366
S27,s__Faecalibacterium_prausnitzii,FP_002,207
S27,s__Faecalibacterium_prausnitzii,FP_003,156
S27,s__Faecalibacterium_prausnitzii,FP_004,144
S27,s__Faecalibacterium_prausnitzii,FP_005,128
S27,s__Akkermansia_muciniphila,AM_001,117
S27,s__Akkermansia_muciniphila,AM_002,299
S27,s__Akkermansia_muciniphila,AM_003,512
S28,s__Escherichia_coli,EC_001,86
S28,s__Escherichia_coli,EC_002,142
S28,s__Escherichia_coli,EC_003,13
S28,s__Escherichia_coli,EC_004,161
S28,s__Escherichia_coli,EC_005,120
S28,s__Escherichia_coli,EC_006,297
S28,s__Escherichia_coli,EC_007,437
S28,s__Bacteroides_fragilis,BF_001,347
S28,s__Bacteroides_fragilis,BF_002,142
S28,s__Bacteroides_fragilis,BF_003,253
S28,s__Bacteroides_fragilis,BF_004,194
S28,s__Bacteroides_thetaiotaomicron,BT_001,400
S28,s__Bacteroides_thetaiotaomicron,BT_002,209
S28,s__Bacteroides_thetaiotaomicron,BT_003,262
S28,s__Faecalibacterium_prausnitzii,FP_001,426
S28,s__Faecalibacterium_prausnitzii,FP_002,329
S28,s__Faecalibacterium_prausnitzii,FP_003,208
S28,s__Faecalibacterium_prausnitzii,FP_004,139
S28,s__Faecalibacterium_prausnitzii,FP_005,126
S28,s__Akkermansia_muciniphila,AM_001,136
S28,s__Akkermansia_muciniphila,AM_002,346
S28,s__Akkermansia_muciniphila,AM_003,476
S29,s__Escherichia_coli,EC_001,167
S29,s__Escherichia_coli,EC_002,13
S29,s__Escherichia_coli,EC_003,124
S29,s__Escherichia_coli,EC_004,55
S29,s__Escherichia_coli,EC_005,66
S29,s__Escherichia_coli,EC_006,382
S29,s__Escherichia_coli,EC_007,496
S29,s__Bacteroides_fragilis,BF_001,410
S29,s__Bacteroides_fragilis,BF_002,196
S29,s__Bacteroides_fragilis,BF_003,164
S29,s__Bacteroides_fragilis,BF_004,217
S29,s__Bacteroides_thetaiotaomicron,BT_001,506
S29,s__Bacteroides_thetaiotaomicron,BT_002,197
S29,s__Bacteroides_thetaiotaomicron,BT_003,231
S29,s__Faecalibacterium_prausnitzii,FP_001,419
S29,s__Faecalibacterium_prausnitzii,FP_002,175
S29,s__Faecalibacterium_prausnitzii,FP_003,172
S29,s__Faecalibacterium_prausnitzii,FP_004,119
S29,s__Faecalibacterium_prausnitzii,FP_005,178
S29,s__Akkermansia_muciniphila,AM_001,70
S29,s__Akkermansia_muciniphila,AM_002,243
S29,s__Akkermansia_muciniphila,AM_003,566
S30,s__Escherichia_coli,EC_001,79
S30,s__Escherichia_coli,EC_002,38
S30,s__Escherichia_coli,EC_005,36
S30,s__Escherichia_coli,EC_006,152
S30,s__Escherichia_coli,EC_007,406
S30,s__Bacteroides_fragilis,BF_001,412
S30,s__Bacteroides_fragilis,BF_002,206
S30,s__Bacteroides_fragilis,BF_003,158
S30,s__Bacteroides_fragilis,BF_004,233
S30,s__Bacteroides_thetaiotaomicron,BT_001,587
S30,s__Bacteroides_thetaiotaomicron,BT_002,320
S30,s__Bacteroides_thetaiotaomicron,BT_003,244
S30,s__Faecalibacterium_prausnitzii,FP_001,220
S30,s__Faecalibacterium_prausnitzii,FP_002,118
S30,s__Faecalibacterium_prausnitzii,FP_003,156
S30,s__Faecalibacterium_prausnitzii,FP_004,64
S30,s__Faecalibacterium_prausnitzii,FP_005,176
S30,s__Akkermansia_muciniphila,AM_001,25
S30,s__Akkermansia_muciniphila,AM_002,331
S30,s__Akkermansia_muciniphila,AM_003,603
